2010,5132400000
2011,8725080000
2012,12831000000
2013,17193540000
2014,20016360000
2015,23044476000
2016,25713324000
2017,28638792000
2018,31820880000
2019,35824152000
2020,39006240000
2021,40905228000
2022,42239652000
2023,46294248000
2024,52350480000
